Parcel,Code,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24
IND086,SAVE4,0,2,0,0,0,2,1,3,0,0,0,1,0,1,0,2,2,0,,,,,,
IND086,ASLE8,0,0,0,0,2,0,0,0,5,1,0,0,0,0,0,0,0,0,,,,,,
IND086,ATPA3,2,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,,,,,,
IND086,GLLE3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,,,,,,
IND086,STPA4,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,,,,,,
IND086,ARCA6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,,,,,
IND086,ELCI2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,
IND086,ARTRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
IND086,ATCO12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
IND086,BAHY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
IND086,CYDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
IND086,ELAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
IND086,JUBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
IND086,JUME4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
IND086,LELA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
IND086,MEAL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
IND087,SPAI,4,,5,,9,,11,,6,,8,,3,,,,,,,,,,,
IND087,SUNI,2,,8,,7,,4,,11,,2,,0,,,,,,,,,,,
IND087,ATTO,0,,2,,7,,7,,3,,3,,9,,,,,,,,,,,
IND087,ERNA10,0,,0,,4,,2,,4,,6,,4,,,,,,,,,,,
IND087,GLLE3,0,,0,,11,,0,,0,,2,,0,,,,,,,,,,,
IND087,DISP,2,,0,,1,,1,,0,,1,,3,,,,,,,,,,,
IND087,SAVE4,1,,1,,1,,0,,0,,2,,0,,,,,,,,,,,
IND087,ATCO,3,,0,,0,,0,,0,,1,,0,,,,,,,,,,,
IND087,JUBA,0,,0,,0,,0,,0,,0,,1,,,,,,,,,,,
IND087,STPA4,0,,0,,1,,0,,0,,0,,0,,,,,,,,,,,
IND087,ELAN,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,
IND087,JUME4,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,
IND096,ERNA10,2,,14,,5,,13,,7,,2,,,,,,,,,,,,,
IND096,ATTO,6,,1,,0,,20,,4,,2,,,,,,,,,,,,,
IND096,DISP,12,,2,,5,,0,,1,,2,,,,,,,,,,,,,
IND096,SUNI,4,,0,,1,,0,,9,,0,,,,,,,,,,,,,
IND096,SPAI,0,,9,,2,,1,,0,,0,,,,,,,,,,,,,
IND096,GLLE3,8,,3,,0,,0,,0,,0,,,,,,,,,,,,,
IND096,IVAX,0,,7,,0,,0,,0,,0,,,,,,,,,,,,,
IND096,BAHY,0,,0,,0,,0,,0,,3,,,,,,,,,,,,,
IND096,SATR12,0,,0,,0,,0,,0,,2,,,,,,,,,,,,,
IND096,SAVE4,0,,0,,2,,0,,0,,0,,,,,,,,,,,,,
IND096,ATCO,0,,0,,1,,0,,0,,0,,,,,,,,,,,,,
IND096,STEPH,0,,0,,1,,0,,0,,0,,,,,,,,,,,,,
